iter	Passed	Remaining
0	54	54457
1	55	27738
2	56	18709
3	56	14174
4	57	11455
5	58	9635
6	58	8337
7	59	7357
8	59	6603
9	61	6040
10	61	5545
11	62	5136
12	62	4781
13	63	4479
14	64	4215
15	64	3987
16	65	3785
17	66	3603
18	66	3440
19	67	3294
20	67	3163
21	68	3043
22	69	2934
23	69	2832
24	70	2743
25	70	2658
26	71	2580
27	72	2506
28	72	2440
29	73	2375
30	74	2314
31	74	2259
32	75	2210
33	76	2165
34	76	2121
35	77	2076
36	78	2034
37	78	1997
38	79	1962
39	80	1936
40	82	1918
41	83	1904
42	84	1890
43	85	1864
44	86	1836
45	87	1808
46	87	1780
47	88	1753
48	89	1728
49	89	1702
50	90	1678
51	90	1655
52	91	1633
53	92	1611
54	92	1590
55	93	1578
56	94	1565
57	95	1551
58	96	1535
59	96	1517
60	97	1500
61	98	1484
62	98	1468
63	99	1452
64	99	1437
65	100	1422
66	101	1407
67	101	1393
68	102	1379
69	102	1366
70	103	1353
71	104	1342
72	104	1330
73	105	1318
74	105	1306
75	106	1296
76	107	1286
77	108	1277
78	108	1266
79	109	1255
80	109	1245
81	110	1235
82	110	1226
83	111	1216
84	112	1207
85	112	1198
86	113	1189
87	113	1180
88	114	1171
89	115	1163
90	115	1155
91	116	1147
92	116	1139
93	117	1131
94	118	1124
95	118	1116
96	119	1109
97	119	1101
98	120	1094
99	120	1087
100	121	1080
101	121	1073
102	122	1068
103	123	1063
104	124	1057
105	124	1051
106	125	1044
107	125	1038
108	126	1032
109	126	1026
110	127	1020
111	128	1015
112	128	1010
113	129	1004
114	129	999
115	130	994
116	131	988
117	131	983
118	132	978
119	132	973
120	133	968
121	133	963
122	134	958
123	134	953
124	135	949
125	136	944
126	136	940
127	137	936
128	138	932
129	138	927
130	139	923
131	139	919
132	140	915
133	141	911
134	141	907
135	142	903
136	142	900
137	143	896
138	144	893
139	144	889
140	145	885
141	145	881
142	146	877
143	147	874
144	147	870
145	148	867
146	148	864
147	149	860
148	150	856
149	150	853
150	151	850
151	151	847
152	152	844
153	153	841
154	153	838
155	154	835
156	154	831
157	155	829
158	156	825
159	156	822
160	157	819
161	157	816
162	158	813
163	158	810
164	159	807
165	159	803
166	160	800
167	161	798
168	161	795
169	162	792
170	162	789
171	163	786
172	163	783
173	164	780
174	164	777
175	165	775
176	166	772
177	166	769
178	167	767
179	167	764
180	168	762
181	169	760
182	169	757
183	170	755
184	171	753
185	171	750
186	172	748
187	172	746
188	173	744
189	174	741
190	174	739
191	175	737
192	175	734
193	176	732
194	176	730
195	177	728
196	178	725
197	178	723
198	179	721
199	179	719
200	180	717
201	181	715
202	181	713
203	182	711
204	182	708
205	183	707
206	184	704
207	185	704
208	185	702
209	186	701
210	187	699
211	187	697
212	188	695
213	188	693
214	189	691
215	189	689
216	190	687
217	191	685
218	191	683
219	192	681
220	192	679
221	193	677
222	193	675
223	194	673
224	194	671
225	195	669
226	196	667
227	196	665
228	197	663
229	197	662
230	198	660
231	199	658
232	199	657
233	200	655
234	200	653
235	201	652
236	202	650
237	202	648
238	203	647
239	203	645
240	204	643
241	205	642
242	205	640
243	206	639
244	206	637
245	207	636
246	208	634
247	208	632
248	209	631
249	209	629
250	210	628
251	211	626
252	211	624
253	212	623
254	212	621
255	213	620
256	213	618
257	214	618
258	215	616
259	216	614
260	216	613
261	217	611
262	217	610
263	218	608
264	218	607
265	219	605
266	220	604
267	220	602
268	221	600
269	221	599
270	222	597
271	222	596
272	223	594
273	223	593
274	224	591
275	224	590
276	225	588
277	226	587
278	226	585
279	227	584
280	227	582
281	228	581
282	229	580
283	229	579
284	230	577
285	230	576
286	231	574
287	231	573
288	232	572
289	233	570
290	233	569
291	234	568
292	234	566
293	235	565
294	236	564
295	236	562
296	237	561
297	237	560
298	238	558
299	239	557
300	240	557
301	240	556
302	241	555
303	242	554
304	242	553
305	243	551
306	243	550
307	244	549
308	245	548
309	246	547
310	246	546
311	247	545
312	248	544
313	248	543
314	249	542
315	250	541
316	250	539
317	251	538
318	251	537
319	252	536
320	252	534
321	253	533
322	253	532
323	254	531
324	255	529
325	255	528
326	256	527
327	256	526
328	257	524
329	257	523
330	258	522
331	259	521
332	259	520
333	260	519
334	260	518
335	261	516
336	262	515
337	262	514
338	263	513
339	263	512
340	264	511
341	265	509
342	265	508
343	266	507
344	266	506
345	267	505
346	268	504
347	268	503
