complexity,loss,score,equation,sympy_format,lambda_format
1,0.5077927,0.0,-0.0023125466,-0.00231254660000000,PySRFunction(X=>-0.00231254660000000)
2,0.50779265,9.846538258799116e-08,sin(-3.139453),-0.00213965195719598,PySRFunction(X=>-0.00213965195719598)
3,0.21768603,0.8470193996592751,(-0.9292971 * x0),-0.9292971*x0,PySRFunction(X=>-0.9292971*x0)
4,0.005532378,3.6724360541179615,sin(x0 * -3.1763942),-sin(3.1763942*x0),PySRFunction(X=>-sin(3.1763942*x0))
6,0.005374884,0.014440374400325678,sin((x0 * -3.1765683) + -6.2656517),-sin(3.1765683*x0 + 6.2656517),PySRFunction(X=>-sin(3.1765683*x0 + 6.2656517))
9,0.0053534615,0.001331210450697693,sin((x0 * -3.176364) + (0.022099286 * cos(x0))),-sin(3.176364*x0 - 0.022099286*cos(x0)),PySRFunction(X=>-sin(3.176364*x0 - 0.022099286*cos(x0)))
10,0.0053525507,0.00017014738731521798,sin((-3.1765642 * x0) + (0.02472419 * sin(cos(x0)))),-sin(3.1765642*x0 - 0.02472419*sin(cos(x0))),PySRFunction(X=>-sin(3.1765642*x0 - 0.02472419*sin(cos(x0))))
11,0.004982263,0.07168900815528552,sin(x0 * (-3.176364 + (-0.11015752 * sin(-3.597513 * x0)))),sin(x0*(0.11015752*sin(3.597513*x0) - 3.176364)),PySRFunction(X=>sin(x0*(0.11015752*sin(3.597513*x0) - 3.176364)))
13,0.004938601,0.004401056389885927,sin(x0 * (-3.176364 + (-0.16071573 * sin(x0 * (-3.176364 + -0.16071573))))),sin(x0*(0.16071573*sin(3.33707973*x0) - 3.176364)),PySRFunction(X=>sin(x0*(0.16071573*sin(3.33707973*x0) - 3.176364)))
14,0.0049098125,0.0058463390064661825,sin(x0 * (-3.176364 + (-0.16071573 * sin(sin(x0 * (-3.176364 + -0.16071573)))))),sin(x0*(0.16071573*sin(sin(3.33707973*x0)) - 3.176364)),PySRFunction(X=>sin(x0*(0.16071573*sin(sin(3.33707973*x0)) - 3.176364)))
15,0.004899359,0.002131373471715869,sin(x0 * (-3.176364 + (-0.16071573 * sin(sin(sin(x0 * (-3.176364 + -0.16071573))))))),sin(x0*(0.16071573*sin(sin(sin(3.33707973*x0))) - 3.176364)),PySRFunction(X=>sin(x0*(0.16071573*sin(sin(sin(3.33707973*x0))) - 3.176364)))
16,0.004862179,0.007617688891562101,sin(x0 * (-3.176364 + (-0.16071573 * sin(sin(x0 * (-3.176364 + (-0.16071573 + -0.1090082))))))),sin(x0*(0.16071573*sin(sin(3.44608793*x0)) - 3.176364)),PySRFunction(X=>sin(x0*(0.16071573*sin(sin(3.44608793*x0)) - 3.176364)))
17,0.0048565567,0.0011570024745487996,sin(x0 * (-3.176364 + (-0.16071573 * sin(sin(sin(x0 * (-3.176364 + (-0.16071573 + -0.1090082)))))))),sin(x0*(0.16071573*sin(sin(sin(3.44608793*x0))) - 3.176364)),PySRFunction(X=>sin(x0*(0.16071573*sin(sin(sin(3.44608793*x0))) - 3.176364)))
