complexity,loss,score,equation,sympy_format,lambda_format
1,0.06833763,0.0,0.11362868,0.113628680000000,PySRFunction(X=>0.113628680000000)
5,0.06695034,0.0051273540003305106,(0.11363463 + (-0.016997892 * x0)),0.11363463 - 0.016997892*x0,PySRFunction(X=>0.11363463 - 0.016997892*x0)
6,0.066436455,0.00770522363122512,(square(-0.3162784) + (-0.0071091624 * x0)),0.10003202630656 - 0.0071091624*x0,PySRFunction(X=>0.10003202630656 - 0.0071091624*x0)
7,0.0006665787,4.601842993724121,exp(-1.0023574 * square(2.0152135 + x0)),exp(-4.07065905342345*(0.496225337910847*x0 + 1)**2),PySRFunction(X=>exp(-4.07065905342345*(0.496225337910847*x0 + 1)**2))
9,0.0006486055,0.0136667692639448,exp(-1.0031854 * (square(2.015192 + x0) + -0.014271004)),1.01441943421892*exp(-4.07393470243153*(0.496230632118428*x0 + 1)**2),PySRFunction(X=>1.01441943421892*exp(-4.07393470243153*(0.496230632118428*x0 + 1)**2))
11,0.00064619683,0.0018602629317657584,exp((-0.46249923 + -0.5589731) * (square(2.015192 + x0) + -0.026785847)),1.02773875108114*exp(-4.14819790315987*(0.496230632118428*x0 + 1)**2),PySRFunction(X=>1.02773875108114*exp(-4.14819790315987*(0.496230632118428*x0 + 1)**2))
12,0.0006428564,0.005182776629510007,square(exp(-0.4445477 * (square(2.015192 + x0) * 1.1436752)) * 1.0102638),1.02063294559044*exp(-4.12937123218815*(0.496230632118428*x0 + 1)**2),PySRFunction(X=>1.02063294559044*exp(-4.12937123218815*(0.496230632118428*x0 + 1)**2))
13,0.00064167264,0.0018431040455199278,exp((-0.46249923 + (-0.5589731 * 1.0336473)) * (square(2.015192 + x0) + -0.026785847)),1.02825664241646*exp(-4.22457690695273*(0.496230632118428*x0 + 1)**2),PySRFunction(X=>1.02825664241646*exp(-4.22457690695273*(0.496230632118428*x0 + 1)**2))
16,0.00064134237,0.00017161140216379901,exp((-0.46249923 + -0.5589731) * (square(2.015192 + x0) + (square(-0.5589731 * 0.15646385) + -0.026785847))),1.0197399731252*exp(-4.14819790315987*(0.496230632118428*x0 + 1)**2),PySRFunction(X=>1.0197399731252*exp(-4.14819790315987*(0.496230632118428*x0 + 1)**2))
18,0.00064009865,0.000970563897295627,(square(exp(square(((x0 + square(0.17604412)) + exp(0.68518496)) * square(-0.77498865)) * -1.4321053)) * square(1.0112972)),1.02272202672784*exp(-4.19558565026223*(0.496245820941145*x0 + 1)**2),PySRFunction(X=>1.02272202672784*exp(-4.19558565026223*(0.496245820941145*x0 + 1)**2))
19,0.0006367583,0.005232156382589489,square(square(square(exp(-0.1319892 * square(((exp(square(-0.4928972)) + x0) + square(-0.71383107)) + 0.2306624)))) + 0.012569923),(0.012569923 + exp(-2.14408953612057*(0.496223965812393*x0 + 1)**2))**2,PySRFunction(X=>(0.012569923 + exp(-2.14408953612057*(0.496223965812393*x0 + 1)**2))**2)
