complexity,loss,score,equation,sympy_format,lambda_format
1,0.06675184,0.0,0.110138215,0.110138215000000,PySRFunction(X=>0.110138215000000)
5,0.06509999,0.006264366709706722,(0.11067512 + (-0.0051475875 * x0)),0.11067512 - 0.0051475875*x0,PySRFunction(X=>0.11067512 - 0.0051475875*x0)
7,0.00040259984,2.542868279398998,exp(-1.0219623 * square(1.9614727 + x0)),exp(-3.93187236016462*(0.50982101356802*x0 + 1)**2),PySRFunction(X=>exp(-3.93187236016462*(0.50982101356802*x0 + 1)**2))
9,0.0004025997,1.7386994536288431e-07,exp(-1.0219496 * square((1.7397902 + x0) + 0.22167939)),exp(-3.93181103035685*(0.50982182191262*x0 + 1)**2),PySRFunction(X=>exp(-3.93181103035685*(0.50982182191262*x0 + 1)**2))
10,0.00030192695,0.2877576673507592,exp(-0.69745564 * square((1.7347612 + exp(x0)) + x0)),exp(-2.09892050684001*(0.576448216619094*x0 + 0.576448216619094*exp(x0) + 1)**2),PySRFunction(X=>exp(-2.09892050684001*(0.576448216619094*x0 + 0.576448216619094*exp(x0) + 1)**2))
12,0.0001883843,0.23585053768082856,exp(-0.67591685 * square((1.6931679 + x0) + exp(x0 + 0.3234685))),exp(-1.93773027953287*(0.590608881729922*x0 + 0.816169870297402*exp(x0) + 1)**2),PySRFunction(X=>exp(-1.93773027953287*(0.590608881729922*x0 + 0.816169870297402*exp(x0) + 1)**2))
13,0.00018738609,0.005312884541099337,exp(-0.67591685 * square((1.6931679 + x0) + exp(x0 + square(0.554902)))),exp(-1.93773027953287*(0.590608881729922*x0 + 0.803574770848586*exp(x0) + 1)**2),PySRFunction(X=>exp(-1.93773027953287*(0.590608881729922*x0 + 0.803574770848586*exp(x0) + 1)**2))
14,0.00018728414,0.0005442119194587073,square(square(exp(-0.16864492 * square(1.6870333 + (x0 + (exp(x0) * 1.3884599)))))),exp(-1.91990864991824*(0.592756527094041*x0 + 0.82301866833334*exp(x0) + 1)**2),PySRFunction(X=>exp(-1.91990864991824*(0.592756527094041*x0 + 0.82301866833334*exp(x0) + 1)**2))
17,0.00017171797,0.028924502386489793,exp(-0.89250183 * square((1.6931679 + x0) + ((square(exp(x0)) * (1.6931679 + x0)) + 0.22084358))),exp(-3.26962685551792*(0.522462906021859*x0 + 0.522462906021859*(x0 + 1.6931679)*exp(2*x0) + 1)**2),PySRFunction(X=>exp(-3.26962685551792*(0.522462906021859*x0 + 0.522462906021859*(x0 + 1.6931679)*exp(2*x0) + 1)**2))
18,0.00017132446,0.002294236153842313,exp(-0.89250183 * square((1.6931679 + x0) + ((exp(x0 + x0) * (1.6931679 + x0)) + 0.23612276))),exp(-3.32203679886347*(0.518325216999703*x0 + 0.518325216999703*(x0 + 1.6931679)*exp(2*x0) + 1)**2),PySRFunction(X=>exp(-3.32203679886347*(0.518325216999703*x0 + 0.518325216999703*(x0 + 1.6931679)*exp(2*x0) + 1)**2))
20,0.00016748,0.01134762220585106,exp(-0.89250183 * square((1.6931679 + x0) + ((exp(x0 + (x0 * 0.85092324)) * (1.6931679 + x0)) + 0.22084358))),exp(-3.26962685551792*(0.522462906021859*x0 + 0.522462906021859*(x0 + 1.6931679)*exp(1.85092324*x0) + 1)**2),PySRFunction(X=>exp(-3.26962685551792*(0.522462906021859*x0 + 0.522462906021859*(x0 + 1.6931679)*exp(1.85092324*x0) + 1)**2))
