Complexity,Loss,Equation
1,0.625,"3.0985448e-6"
3,0.6203733,"(-0.0011710563 * x0)"
4,0.125,"cos(x0 * 0.062498815)"
6,0.12499999,"cos((x0 * 0.16905731) * 0.369695)"
8,0.11170544,"(cos(x0 * 0.06682811) + (x0 * -0.0030395004))"
9,0.0680352,"cos((x0 * -0.062361427) + cos(x0 * 0.06135031))"
10,0.041681774,"cos((x0 * -0.0627332) + sin(cos(x0 * 0.06256465)))"
11,7.251674e-6,"(cos(x0 * 0.06256465) + (sin(0.12505801 * x0) * 0.49864757))"
12,2.6835667e-6,"(cos(x0 * sin(0.06256465)) + (sin(0.12505801 * x0) * 0.49864757))"
13,2.1952412e-6,"(cos(x0 * sin(0.06256465)) + (sin(sin(0.12530807) * x0) * 0.49864757))"
14,1.3098878e-6,"(cos(x0 * sin(sin(0.06256465))) + (sin(sin(0.12530807) * x0) * 0.49864757))"
18,5.785574e-7,"(cos(x0 * sin(sin(0.062589034))) + (sin(sin(0.12530807) * x0) * sin(sin(cos(cos(0.1671154))))))"
19,5.257996e-7,"(cos(x0 * sin(sin(0.062589034))) + (sin(sin(0.12530807) * x0) * sin(sin(cos(cos(sin(0.1671154)))))))"
20,4.800394e-7,"(cos(x0 * sin(sin(0.062589034))) + (sin(sin(0.12530807) * x0) * sin(sin(cos(cos(sin(sin(0.1671154))))))))"
