complexity,loss,score,equation,sympy_format,lambda_format
1,0.49651217,0.0,0.0026968613,0.00269686130000000,PySRFunction(X=>0.00269686130000000)
3,0.19181858,0.47552898263346,(-0.047804203 * x0),-0.047804203*x0,PySRFunction(X=>-0.047804203*x0)
4,0.0028738838,4.2008856741139295,sin(x0 * -0.15645656),-sin(0.15645656*x0),PySRFunction(X=>-sin(0.15645656*x0))
6,0.0027228484,0.02699290856617994,sin((-0.11193744 + x0) * -0.15644225),-sin(0.15644225*x0 - 0.01751174497284),PySRFunction(X=>-sin(0.15644225*x0 - 0.01751174497284))
8,0.0026885506,0.00633815012917337,(sin((x0 * -0.15636025) + 0.017644435) * 0.9900563),-0.9900563*sin(0.15636025*x0 - 0.017644435),PySRFunction(X=>-0.9900563*sin(0.15636025*x0 - 0.017644435))
10,0.0024568448,0.045062156456771904,sin(((x0 + cos(cos(x0))) * -0.15640956) + 0.1359037),-sin(0.15640956*x0 + 0.15640956*cos(cos(x0)) - 0.1359037),PySRFunction(X=>-sin(0.15640956*x0 + 0.15640956*cos(cos(x0)) - 0.1359037))
12,0.0023397375,0.024419590745474652,sin(((x0 + cos(cos(x0) + -0.15640956)) * -0.15640956) + 0.1359037),-sin(0.15640956*x0 + 0.15640956*cos(cos(x0) - 0.15640956) - 0.1359037),PySRFunction(X=>-sin(0.15640956*x0 + 0.15640956*cos(cos(x0) - 0.15640956) - 0.1359037))
13,0.0023297505,0.004277563290934412,sin(((x0 + cos(sin(sin(0.8328751) * x0))) * -0.15640752) + 0.13444076),-sin(0.15640752*x0 + 0.15640752*cos(sin(0.739868653792492*x0)) - 0.13444076),PySRFunction(X=>-sin(0.15640752*x0 + 0.15640752*cos(sin(0.739868653792492*x0)) - 0.13444076))
14,0.0021522806,0.07923315616487717,sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + 0.14408009),-sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.14408009),PySRFunction(X=>-sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.14408009))
15,0.0021492054,0.0014298317018427878,sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(0.14408009)),-sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.143582112323808),PySRFunction(X=>-sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.143582112323808))
16,0.0021272127,0.010285661213753534,(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + 0.14408009) * 0.9900563),-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.14408009),PySRFunction(X=>-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.14408009))
17,0.0021241463,0.0014425507381300006,(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(0.14408009)) * 0.9900563),-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.143582112323808),PySRFunction(X=>-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.143582112323808))
18,0.0021213514,0.0013166420529481032,(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(sin(0.14408009))) * 0.9900563),-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.143089276707013),PySRFunction(X=>-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.143089276707013))
19,0.0021188154,0.0011961795004787924,(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(sin(sin(0.14408009)))) * 0.9900563),-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.14260149511707),PySRFunction(X=>-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.14260149511707))
20,0.0021165372,0.001075801915393263,(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(sin(sin(sin(0.14408009))))) * 0.9900563),-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.142118681619486),PySRFunction(X=>-0.9900563*sin(0.15644225*x0 + 0.15644225*cos(cos(1.0286876*x0) - 0.23727228) - 0.142118681619486))
