Complexity,Loss,Equation
1,0.49651217,"0.0026968613"
3,0.19181858,"(-0.047804203 * x0)"
4,0.0028738838,"sin(x0 * -0.15645656)"
6,0.0027228484,"sin((-0.11193744 + x0) * -0.15644225)"
8,0.0026885506,"(sin((x0 * -0.15636025) + 0.017644435) * 0.9900563)"
10,0.0024568448,"sin(((x0 + cos(cos(x0))) * -0.15640956) + 0.1359037)"
12,0.0023397375,"sin(((x0 + cos(cos(x0) + -0.15640956)) * -0.15640956) + 0.1359037)"
13,0.0023297505,"sin(((x0 + cos(sin(sin(0.8328751) * x0))) * -0.15640752) + 0.13444076)"
14,0.0021522806,"sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + 0.14408009)"
15,0.0021492054,"sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(0.14408009))"
16,0.0021272127,"(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + 0.14408009) * 0.9900563)"
17,0.0021241463,"(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(0.14408009)) * 0.9900563)"
18,0.0021213514,"(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(sin(0.14408009))) * 0.9900563)"
19,0.0021188154,"(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(sin(sin(0.14408009)))) * 0.9900563)"
20,0.0021165372,"(sin(((x0 + cos(cos(x0 * -1.0286876) + -0.23727228)) * -0.15644225) + sin(sin(sin(sin(0.14408009))))) * 0.9900563)"
